NAME,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,LSAD,ALAND,AWATER,White_20,Black_20,AIAA_20,API_20,total_nvb,totalProjectAmount,Number_MobileHomes,POP,Income_Per_Cap,Minority_Population_PerCap,FEMAAmountperpop,geometry
Beaufort County,37,013,01026333,0500000US37013,37013,06,2154800548,338964099,29817,10303,168,2534,105874454,31032321.38,7038,44652,27504,29.1252351518409,694.9816666666667,"list(list(c(-77.174, -76.985842, -76.847264, -76.844279, -76.637513, -76.588191, -76.467761, -76.509605, -76.599085, -76.522131, -76.590497, -76.632561, -76.845505, -76.895919, -76.958887, -77.189115, -77.176178, -77.100803, -77.08586, -77.172766, -77.195772, -77.174, 35.732831, 35.658848, 35.719982, 35.705717, 35.705215, 35.620654, 35.556504, 35.518356, 35.51996, 35.353623, 35.361857, 35.235324, 35.216059, 35.253889, 35.301013, 35.418362, 35.518812, 35.551455, 35.553317, 35.6391, 35.699779, 35.732831
)))"
Bertie County,37,015,01026334,0500000US37015,37015,06,1810858588,109088136,6339,10720,63,276,18660000,10290512.86,3482,17934,22947,61.66499386639902,573.7990888814542,"list(list(c(-77.230275, -77.291519, -77.29825, -77.208468, -77.180277, -76.706584, -76.736933, -76.682535, -76.606214, -76.683751, -76.760598, -76.834825, -76.891106, -76.894022, -76.93904, -77.00525, -77.04405, -77.027544, -77.195882, -77.205817, -77.327569, -77.230275, 36.104999, 36.168342, 36.207708, 36.246578, 36.242766, 36.243796, 36.150583, 36.030947, 35.978051, 35.953101, 35.864887, 35.88291, 35.812654, 35.861937, 35.90151, 35.858433, 35.861621, 35.929683, 35.936801, 36.005323, 36.071361, 
36.104999)))"
Brunswick County,37,019,01026340,0500000US37019,37019,06,2199384967,518918112,112307,11546,895,4556,7994419,3827615,19667,136693,33312,12.434433365278398,28.001543605012692,"list(list(c(-78.640688, -78.557052, -78.545218, -78.515289, -78.422921, -78.374295, -78.254622, -78.16235, -78.137302, -78.029922, -77.956605, -77.8854550755211, -77.915536, -77.9348271350857, -77.960172, -78.006765, -78.018689, -78.136952, -78.276147, -78.383964, -78.541087, -78.615932, -78.6508712805333, -78.640688, 34.009854, 34.061849, 34.145747, 34.165865, 34.139494, 34.204893, 34.216305, 34.357007, 34.371711, 34.331768, 34.234491, 34.038240984853, 33.971723, 33.9205485057973, 33.853315, 33.858704, 
33.888289, 33.912178, 33.912364, 33.901946, 33.851112, 33.915523, 33.9450557205328, 34.009854)))"
Camden County,37,029,01026335,0500000US37029,37029,06,622448682,181112905,8312,1055,49,243,1730000,1240053,647,10355,28221,13.008208594881697,119.75403186866248,"list(list(c(-76.4914825754723, -76.3133029682603, -76.158532, -76.114069, -76.050755, -75.948777, -75.887984, -75.906295, -76.022398, -76.022607, -76.02939, -76.12458, -76.216211, -76.231329, -76.437286, -76.491336, -76.5419658657183, -76.4914825754723, 36.5507329938364, 36.550551089807, 36.425333, 36.357498, 36.359819, 36.285851, 36.163311, 36.085877, 36.086654, 36.096725, 36.158819, 36.263963, 36.298302, 36.37208, 36.467846, 36.510677, 36.5507845323601, 36.5507329938364)))"
Carteret County,37,031,01026337,0500000US37031,37031,06,1314696235,2131054352,58255,3274,312,2074,18399258,5530135,8947,67686,33722,8.362142836036995,81.70278935082587,"list(list(c(-77.161676, -77.078263, -76.954438, -76.883201, -76.693018, -76.652571, -76.71158, -76.304136, -76.065774, -76.013145, -76.137269, -76.233088, -76.31021, -76.386804, -76.450454, -76.535946, -76.553806, -76.618719, -76.726969, -76.906257, -77.1129643930768, -77.096073, -77.165986, -77.161676, 34.795075, 34.811322, 34.809066, 34.844893, 34.86918, 34.937595, 34.981768, 35.201453, 35.124937, 35.061855, 34.987858, 34.905477, 34.852309, 34.784579, 34.71445, 34.588577, 34.628252, 34.67255, 34.69669, 
34.68282, 34.6380928323915, 34.67124, 34.785032, 34.795075)))"
Chowan County,37,041,01025822,0500000US37041,37041,06,447179929,157966162,8351,4408,47,343,2955936,627248.77,1802,13708,26256,35.0014590020426,45.75786183250656,"list(list(c(-76.706584, -76.696571, -76.669975, -76.559646, -76.590107, -76.572077, -76.402957, -76.396794, -76.511899, -76.606214, -76.682535, -76.736933, -76.706584, 36.243796, 36.296138, 36.315214, 36.351056, 36.238862, 36.109463, 36.072867, 36.026443, 35.980726, 35.978051, 36.030947, 36.150583, 36.243796)))"
Craven County,37,049,01026123,0500000US37049,37049,06,1830077186,172715012,66703,20204,413,6263,27890016,17220757.77,6054,100720,29521,26.687847498014293,170.97654656473392,"list(list(c(-77.431319, -77.391026, -77.29434, -77.247896, -77.189115, -76.958887, -76.895919, -76.987266, -76.940819, -76.953285, -76.780586, -76.71158, -76.652571, -76.693018, -76.883201, -76.954438, -77.078263, -77.113487, -77.473692, -77.431319, 35.329781, 35.339533, 35.379137, 35.354415, 35.418362, 35.301013, 35.253889, 35.15495, 35.119103, 35.021248, 34.950434, 34.981768, 34.937595, 34.86918, 34.844893, 34.809066, 34.811322, 35.072442, 35.228985, 35.329781)))"
Currituck County,37,053,01026125,0500000US37053,37053,06,678415818,685023988,23878,1392,118,709,2925887,1454550,2218,28100,31849,7.89679715302491,51.763345195729535,"list(list(c(-76.313215, -76.1223499470101, -76.02675, -75.867044, -75.838437, -75.79641, -75.7706514625597, -75.813108, -75.76628, -75.840046, -75.874806, -75.906295, -75.887984, -75.948777, -76.050755, -76.114069, -76.158532, -76.3133029682603, -76.313215, 36.550551, 36.5505523325541, 36.550553, 36.550754, 36.434897, 36.290351, 36.2320803070508, 36.22356, 36.056956, 36.028834, 36.041789, 36.085877, 36.163311, 36.285851, 36.359819, 36.357498, 36.425333, 36.550551089807, 36.550551)))"
Dare County,37,055,01026133,0500000US37055,37055,06,992549370,3000522458,32429,703,181,1441,42873560,16008160,2155,36915,34578,6.298252742787485,433.64919409454154,"list(list(c(-76.008348, -75.973152, -75.840046, -75.76628, -75.813108, -75.7706514625597, -75.71831, -75.658537, -75.569794, -75.51901, -75.496086, -75.458659, -75.486771, -75.533627, -75.635493, -75.7495614239622, -75.814021, -75.901342, -76.027479, -76.008348, 35.895802, 35.976643, 36.028834, 36.056956, 36.22356, 36.2320803070508, 36.113674, 36.02043, 35.863301, 35.769087, 35.728515, 35.596597, 35.391652, 35.225825, 35.22026, 35.1856163621922, 35.500182, 35.668952, 35.668849, 35.895802)))"
Gates County,37,073,01026126,0500000US37073,37073,06,882181716,13292008,6762,3023,71,124,0,139965.89,1660,10478,25846,30.711967932811607,13.358073105554496,"list(list(c(-76.9160376328562, -76.9157318023497, -76.738329, -76.5419658657183, -76.491336, -76.491405, -76.453711, -76.559646, -76.669975, -76.696571, -76.779467, -76.946258, -76.9160376328562, 36.5460813302903, 36.5460897693389, 36.550985, 36.5507845323601, 36.510677, 36.468648, 36.378092, 36.351056, 36.315214, 36.296138, 36.362469, 36.413822, 36.5460813302903)))"
