COUNTY,White_20,Black_20,AIAA_20,API_20,total_nvb,totalProjectAmount,Number_MobileHomes,POP,Income_Per_Cap,Minority_Population_PerCap,FEMAAmountperpop
Beaufort County,29817,10303,168,2534,105874454,31032321.38,7038,44652,27504,29.1252351518409,694.9816666666667
Bertie County,6339,10720,63,276,18660000,10290512.86,3482,17934,22947,61.66499386639902,573.7990888814542
Brunswick County,112307,11546,895,4556,7994419,3827615,19667,136693,33312,12.434433365278398,28.001543605012692
Camden County,8312,1055,49,243,1730000,1240053,647,10355,28221,13.008208594881697,119.75403186866248
Carteret County,58255,3274,312,2074,18399258,5530135,8947,67686,33722,8.362142836036995,81.70278935082587
Chowan County,8351,4408,47,343,2955936,627248.77,1802,13708,26256,35.0014590020426,45.75786183250656
Craven County,66703,20204,413,6263,27890016,17220757.77,6054,100720,29521,26.687847498014293,170.97654656473392
Currituck County,23878,1392,118,709,2925887,1454550,2218,28100,31849,7.89679715302491,51.763345195729535
Dare County,32429,703,181,1441,42873560,16008160,2155,36915,34578,6.298252742787485,433.64919409454154
Gates County,6762,3023,71,124,0,139965.89,1660,10478,25846,30.711967932811607,13.358073105554496
Hertford County,7622,12393,206,592,0,5423361,2632,21552,20119,61.2054565701559,251.6407293986637
Hyde County,2956,1169,10,225,33467748,7688765,573,4589,18245,30.59490084985836,1675.4772281542819
New Hanover County,170837,27386,1038,11797,10298577,15196933.62,4136,225702,34288,17.820400350905174,67.33185182231438
Onslow County,137072,28026,1460,15750,9183960,3996319,11811,204576,24413,22.112075707805413,19.534642382293132
Pamlico County,9216,2061,58,313,41807374,12502608.56,1907,12276,29092,19.811013359400455,1018.4594786575432
Pasquotank County,22019,14478,213,1529,1555000,979758,2342,40568,24664,39.982252021297576,24.151005718793137
Pender County,45305,7619,354,3207,43121259,28794349.62,6659,60203,29266,18.570503131073202,478.28762055047093
Perquimans County,9412,2715,39,185,0,10000,1451,13005,27569,22.599000384467512,0.7689350249903883
Tyrrell County,1903,938,5,197,525000,525809,680,3245,19743,35.130970724191066,162.0366718027735
Washington County,4999,5375,23,269,1151000,219262.07,1456,11003,23431,51.50413523584477,19.927480687085342
