STATE,COUNTY,ALX5E001
Alabama,Autauga County,29819
Alabama,Baldwin County,32626
Alabama,Barbour County,18473
Alabama,Bibb County,20778
Alabama,Blount County,24747
Alabama,Bullock County,20877
Alabama,Butler County,21038
Alabama,Calhoun County,25345
Alabama,Chambers County,22729
Alabama,Cherokee County,24301
Alabama,Chilton County,24658
Alabama,Choctaw County,22308
Alabama,Clarke County,22225
Alabama,Clay County,23519
Alabama,Cleburne County,23142
Alabama,Coffee County,27806
Alabama,Colbert County,25536
Alabama,Conecuh County,19769
Alabama,Coosa County,23694
Alabama,Covington County,23687
Alabama,Crenshaw County,24563
Alabama,Cullman County,23468
Alabama,Dale County,24645
Alabama,Dallas County,19612
Alabama,DeKalb County,21907
Alabama,Elmore County,29052
Alabama,Escambia County,19028
Alabama,Etowah County,24883
Alabama,Fayette County,22483
Alabama,Franklin County,21641
Alabama,Geneva County,21711
Alabama,Greene County,14884
Alabama,Hale County,21191
Alabama,Henry County,25276
Alabama,Houston County,27097
Alabama,Jackson County,22596
Alabama,Jefferson County,32098
Alabama,Lamar County,22636
Alabama,Lauderdale County,28033
Alabama,Lawrence County,23450
Alabama,Lee County,27860
Alabama,Limestone County,28411
Alabama,Lowndes County,20209
Alabama,Macon County,20419
Alabama,Madison County,36620
Alabama,Marengo County,25635
Alabama,Marion County,21311
Alabama,Marshall County,24453
Alabama,Mobile County,25861
Alabama,Monroe County,20527
Alabama,Montgomery County,29071
Alabama,Morgan County,27367
Alabama,Perry County,15055
Alabama,Pickens County,23024
Alabama,Pike County,22453
Alabama,Randolph County,24721
Alabama,Russell County,23470
Alabama,St. Clair County,26409
Alabama,Shelby County,38549
Alabama,Sumter County,16799
Alabama,Talladega County,23305
Alabama,Tallapoosa County,25217
Alabama,Tuscaloosa County,26789
Alabama,Walker County,23882
Alabama,Washington County,26752
Alabama,Wilcox County,16841
Alabama,Winston County,22952
Alaska,Aleutians East Borough,33939
Alaska,Aleutians West Census Area,39647
Alaska,Anchorage Municipality,41415
Alaska,Bethel Census Area,19885
Alaska,Bristol Bay Borough,44168
Alaska,Denali Borough,34365
Alaska,Dillingham Census Area,25993
Alaska,Fairbanks North Star Borough,37025
Alaska,Haines Borough,31731
Alaska,Hoonah-Angoon Census Area,36091
Alaska,Juneau City and Borough,43680
Alaska,Kenai Peninsula Borough,34226
Alaska,Ketchikan Gateway Borough,37590
Alaska,Kodiak Island Borough,32876
Alaska,Kusilvak Census Area,13762
Alaska,Lake and Peninsula Borough,24836
Alaska,Matanuska-Susitna Borough,31232
Alaska,Nome Census Area,23581
Alaska,North Slope Borough,48730
Alaska,Northwest Arctic Borough,23780
Alaska,Petersburg Borough,36112
Alaska,Prince of Wales-Hyder Census Area,27080
Alaska,Sitka City and Borough,39615
Alaska,Skagway Municipality,39453
Alaska,Southeast Fairbanks Census Area,32193
Alaska,Valdez-Cordova Census Area,38907
Alaska,Wrangell City and Borough,32286
Alaska,Yakutat City and Borough,32198
Alaska,Yukon-Koyukuk Census Area,22718
Arizona,Apache County,15128
Arizona,Cochise County,26819
Arizona,Coconino County,27339
Arizona,Gila County,24251
Arizona,Graham County,18683
Arizona,Greenlee County,25780
Arizona,La Paz County,22879
Arizona,Maricopa County,33279
Arizona,Mohave County,26166
Arizona,Navajo County,18935
Arizona,Pima County,29707
Arizona,Pinal County,24959
Arizona,Santa Cruz County,21480
Arizona,Yavapai County,30341
Arizona,Yuma County,21758
Arkansas,Arkansas County,26386
Arkansas,Ashley County,23391
Arkansas,Baxter County,26863
Arkansas,Benton County,34442
Arkansas,Boone County,24727
Arkansas,Bradley County,22945
Arkansas,Calhoun County,23688
Arkansas,Carroll County,25295
Arkansas,Chicot County,20232
Arkansas,Clark County,21337
Arkansas,Clay County,22505
Arkansas,Cleburne County,27227
Arkansas,Cleveland County,24225
Arkansas,Columbia County,21189
Arkansas,Conway County,25158
Arkansas,Craighead County,26948
Arkansas,Crawford County,24547
Arkansas,Crittenden County,23172
Arkansas,Cross County,25380
Arkansas,Dallas County,20517
Arkansas,Desha County,19235
Arkansas,Drew County,25543
Arkansas,Faulkner County,26913
Arkansas,Franklin County,20480
Arkansas,Fulton County,19697
Arkansas,Garland County,27171
