GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B18AA1970,B18AA1980,B18AA1990,B18AA2000,B18AA2010,B18AA2020,B18AB1970,B18AB1980,B18AB1990,B18AB2000,B18AB2010,B18AB2020,B18AC1970,B18AC1980,B18AC1990,B18AC2000,B18AC2010,B18AC2020,B18AD1970,B18AD1980,B18AD1990,B18AD2000,B18AD2010,B18AD2020,B18AE2000,B18AE2010,B18AE2020
"G0100010","Alabama","01","010","Autauga County","001","0010",17511,24846,27144,35221,42855,42160,6911,7224,6845,7473,9643,11445,4,97,71,194,232,217,34,85,162,378,972,1826,405,869,3157
"G0100030","Alabama","01","010","Baldwin County","003","0030",48650,65922,84565,122366,156153,189399,10569,12035,12640,14444,17105,18217,84,432,630,809,1216,1582,79,64,445,1330,5068,7545,1466,2723,15024
"G0100050","Alabama","01","010","Barbour County","005","0050",12134,13661,14118,14887,13180,11317,10389,11003,11194,13451,12875,11933,10,21,46,131,114,116,10,65,59,357,1030,1157,212,258,700
"G0100070","Alabama","01","010","Bibb County","007","0070",9953,12040,13052,15966,17381,16555,3850,3675,3478,4624,5047,4413,1,2,25,49,64,60,8,6,21,80,220,506,107,203,759
"G0100090","Alabama","01","010","Blount County","009","0090",26205,35668,38397,48512,53068,50663,629,661,521,606,761,845,15,98,133,250,307,337,4,23,197,1137,2502,3633,519,684,3656
"G0100110","Alabama","01","010","Bullock County","011","0110",3857,3431,3036,2958,2507,2320,7965,7160,7986,8564,7666,7396,2,0,8,44,23,72,0,5,12,66,632,321,82,86,248
"G0100130","Alabama","01","010","Butler County","013","0130",13174,13255,13049,12492,11399,9752,8820,8397,8798,8732,9095,8430,3,14,24,45,60,29,10,8,21,46,232,253,84,161,587
"G0100150","Alabama","01","010","Calhoun County","015","0150",85186,97382,92873,88537,88840,80586,17584,21005,21578,20810,24382,25559,85,283,296,445,540,487,237,541,1287,1376,2835,3780,1081,1975,6029
"G0100170","Alabama","01","010","Chambers County","017","0170",23695,25286,23575,22271,20112,18850,12637,13894,13221,13943,13257,13512,10,5,41,49,69,106,14,6,39,111,392,1094,209,385,1210
"G0100190","Alabama","01","010","Cherokee County","019","0190",14199,17168,18154,22268,24081,22707,1393,1550,1291,1330,1208,987,4,28,51,75,135,109,10,14,47,117,178,248,198,387,920
"G0100210","Alabama","01","010","Chilton County","021","0210",21762,26940,28647,34330,36713,35527,3410,3631,3674,4200,4230,4067,4,0,63,111,155,338,4,41,74,677,2039,3079,275,506,2003
"G0100230","Alabama","01","010","Choctaw County","023","0230",9276,9505,8913,8779,7731,7074,7309,7319,7077,7027,6012,5232,0,8,10,25,18,30,4,7,18,24,40,69,67,58,260
"G0100250","Alabama","01","010","Clarke County","025","0250",15008,15764,15527,15589,14070,12029,11701,11827,11625,11989,11336,10255,8,87,45,62,103,74,7,7,43,91,148,177,136,176,552
"G0100270","Alabama","01","010","Clay County","027","0270",10578,11427,11044,11776,11380,11375,2041,2268,2166,2238,2066,1963,5,8,23,45,55,56,12,0,19,83,196,247,112,235,595
"G0100290","Alabama","01","010","Cleburne County","029","0290",10346,11918,12084,13380,14079,13819,640,647,587,523,498,466,6,0,20,42,51,53,4,18,39,69,184,152,109,160,566
"G0100310","Alabama","01","010","Coffee County","031","0310",28853,31657,32702,33631,37330,37080,5965,6532,6917,8013,8359,8760,20,120,163,396,645,640,34,151,458,845,2367,2878,730,1247,4107
"G0100330","Alabama","01","010","Colbert County","033","0330",41105,45254,42820,44825,43789,43631,8480,9146,8568,9137,8768,9286,20,63,137,205,267,270,27,50,141,330,759,1343,487,845,2697
"G0100350","Alabama","01","010","Conecuh County","035","0350",8654,9332,8063,7806,6788,5912,6986,6534,5925,6136,6149,5104,2,18,43,28,44,72,3,0,23,35,115,140,84,132,369
"G0100370","Alabama","01","010","Coosa County","037","0370",6906,7420,7242,7802,7648,6824,3736,3950,3782,4172,3582,3008,7,0,34,39,40,31,13,7,5,82,166,170,107,103,354
