GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,AL0AE001,AL0AE002,AL0AE003,AL0AE004,AL0AE005,AL0AE006,AL0AE007,AL0AE008,AL0AE009,AL0AE010,AL0AE011,NAME_M,AL0AM001,AL0AM002,AL0AM003,AL0AM004,AL0AM005,AL0AM006,AL0AM007,AL0AM008,AL0AM009,AL0AM010,AL0AM011
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",23493,16748,216,118,457,670,390,342,102,4414,36,"Autauga County, Alabama",83,463,118,57,147,237,211,141,105,413,31
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",114164,72583,1290,2161,2448,3135,3757,2724,13285,12666,115,"Baldwin County, Alabama",219,1155,247,388,409,434,647,530,705,762,65
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",12013,6573,124,745,453,376,115,44,49,3520,14,"Barbour County, Alabama",143,325,59,158,113,109,70,36,38,255,18
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",9185,5532,33,0,194,268,71,100,69,2890,28,"Bibb County, Alabama",68,353,33,22,141,135,68,92,70,310,33
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",24323,16771,151,426,294,308,94,89,14,6150,26,"Blount County, Alabama",67,411,78,124,132,130,87,55,23,395,30
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",4557,2334,36,201,29,217,0,0,35,1705,0,"Bullock County, Alabama",58,236,48,135,39,125,19,19,54,211,19
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",10089,6267,68,229,457,327,52,32,33,2624,0,"Butler County, Alabama",47,274,47,83,112,77,42,24,20,225,19
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",53631,38701,644,962,1523,1879,917,464,397,8127,17,"Calhoun County, Alabama",183,761,176,229,325,290,199,139,115,583,18
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",16988,11841,77,627,442,452,414,246,605,2261,23,"Chambers County, Alabama",75,421,61,165,132,161,153,118,232,283,23
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",16579,11055,20,241,196,175,116,200,23,4529,24,"Cherokee County, Alabama",49,500,18,100,101,104,81,94,22,462,21
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",19781,11964,303,278,250,437,79,40,27,6354,49,"Chilton County, Alabama",60,509,117,168,141,156,86,40,45,437,46
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",7359,4601,22,10,25,95,26,46,18,2497,19,"Choctaw County, Alabama",47,283,26,14,30,40,21,39,23,312,22
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",12784,8252,55,106,564,325,69,99,18,3292,4,"Clarke County, Alabama",44,360,40,97,198,145,74,64,25,310,6
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",6799,4637,13,233,190,117,0,6,17,1557,29,"Clay County, Alabama",45,282,17,89,78,48,19,9,20,258,45
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",6844,4551,21,40,129,107,15,0,0,1960,21,"Cleburne County, Alabama",56,228,19,40,80,60,23,19,19,192,32
